date,pm25,pm10,o3,no2,so2,co
3/1/2024,5,28,141,10,500,
2/29/2024,64,37,149,10,500,
2/28/2024,39,25,146,14,500,
2/27/2024,24,10,141,21,500,
2/26/2024,43,37,145,11,500,
2/25/2024,34,26,141,14,500,
2/24/2024,72,13,146,11,500,
2/23/2024,5,44,130,15,500,
2/22/2024,16,30,118,16,500,
2/21/2024,48,17,10,10,500,
2/20/2024,54,24,13,11,500,
2/19/2024,24,27,12,9,500,
2/18/2024,44,13,14,10,500,
2/17/2024,7,3,19,9,500,
2/16/2024,28,17,25,8,500,
2/15/2024,6,18,21,8,500,
2/14/2024,47,17,20,9,500,
2/13/2024,64,32,16,7,500,
2/12/2024,52,27,13,7,500,
2/11/2024,27,29,41,6,500,
2/10/2024,56,3,38,6,500,
2/9/2024,42,39,89,7,500,
2/8/2024,51,21,141,8,500,
2/7/2024,46,25,138,11,500,
2/6/2024,26,23,45,15,500,
2/5/2024,46,10,18,12,500,
2/4/2024,37,23,13,9,500,
2/3/2024,77,19,11,7,500,
2/2/2024,29,41,9,7,500,
2/1/2024,27,15,11,9,500,
1/31/2024,5,14,17,16,500,
1/30/2024,46,26,19,18,500,
1/29/2024,49,42,42,14,500,
1/28/2024,60,9,133,11,500,
1/27/2024,63,14,121,10,500,
1/26/2024,61,25,132,11,500,
1/25/2024,57,30,103,11,500,
1/24/2024,5,30,101,11,500,
1/23/2024,58,22,28,11,500,
1/22/2024,13,28,22,7,500,
1/21/2024,17,31,32,11,500,
1/20/2024,29,3,24,2,500,
1/19/2024,20,43,21,19,500,
1/18/2024,33,47,34,3,500,
1/17/2024,39,31,24,11,500,
1/16/2024,29,20,8,7,500,
1/15/2024,30,15,6,7,500,
1/14/2024,49,18,5,8,500,
1/13/2024,53,25,6,8,500,
1/12/2024,47,26,7,9,500,
1/11/2024,60,23,5,9,500,
1/10/2024,54,30,5,8,500,
1/9/2024,41,26,2,8,500,
1/8/2024,47,21,14,10,500,
1/7/2024,57,24,24,18,500,
1/6/2024,54,30,32,22,500,
1/5/2024,76,27,21,25,500,
1/4/2024,52,39,18,29,500,
1/3/2024,39,30,21,25,500,
1/2/2024,63,20,10,20,500,
1/1/2024,46,32,21,21,500,
12/31/2023,60,23,29,21,500,
12/30/2023,54,31,21,22,500,
12/29/2023,71,27,15,25,500,
12/28/2023,85,35,29,35,500,
12/27/2023,96,42,33,30,500,
12/26/2023,84,48,35,30,500,
12/25/2023,53,42,24,32,500,
12/24/2023,68,30,22,25,500,
12/23/2023,79,37,21,25,500,
12/22/2023,68,42,19,26,500,
12/21/2023,50,35,23,21,500,
12/20/2023,35,27,20,22,500,
12/19/2023,27,18,9,19,500,
12/18/2023,46,14,6,12,500,
12/17/2023,29,24,3,21,500,
12/16/2023,25,16,3,17,500,
12/15/2023,25,14,5,17,500,
12/14/2023,40,12,13,18,500,
12/13/2023,68,20,15,17,500,
12/12/2023,37,34,29,24,500,
12/11/2023,36,18,15,19,500,
12/10/2023,36,18,11,19,500,
12/9/2023,46,18,17,20,500,
12/8/2023,49,22,19,23,500,
12/7/2023,52,25,31,26,500,
12/6/2023,48,27,18,20,500,
12/5/2023,31,25,8,21,500,
12/4/2023,58,15,10,20,500,
12/3/2023,78,29,9,15,500,
12/2/2023,66,40,10,25,500,
12/1/2023,43,33,10,26,500,
11/30/2023,47,22,13,17,500,
11/29/2023,94,23,18,22,500,
11/28/2023,96,45,29,28,500,
11/27/2023,81,47,32,28,500,
11/26/2023,55,41,32,24,500,
11/25/2023,79,29,29,20,500,
11/24/2023,85,39,33,27,500,
11/23/2023,55,43,30,27,500,
11/22/2023,75,28,21,23,500,
11/21/2023,66,37,22,30,500,
11/20/2023,59,34,43,28,500,
11/19/2023,50,30,38,28,500,
11/18/2023,40,27,27,28,500,
11/17/2023,27,24,22,26,500,
11/16/2023,27,18,18,19,500,
11/15/2023,52,16,14,19,500,
11/14/2023,29,26,15,23,500,
11/13/2023,24,13,6,13,500,
11/12/2023,37,12,3,11,500,
11/11/2023,21,18,2,16,500,
11/10/2023,11,10,4,12,500,
11/9/2023,16,6,3,10,500,
11/8/2023,43,8,4,11,500,
11/7/2023,40,22,8,16,500,
11/6/2023,33,21,8,16,500,
11/5/2023,27,17,4,14,500,
11/4/2023,29,14,5,12,500,
11/3/2023,37,14,4,12,500,
11/2/2023,60,18,6,14,500,
11/1/2023,59,33,10,18,500,
10/31/2023,40,30,13,15,500,
10/30/2023,17,21,9,16,500,
10/29/2023,39,8,6,15,500,
10/28/2023,38,20,5,14,500,
10/27/2023,52,19,7,20,500,
10/26/2023,47,26,18,26,500,
10/25/2023,42,24,22,29,500,
10/24/2023,33,20,28,26,500,
10/23/2023,39,17,17,23,500,
10/22/2023,14,20,13,24,500,
10/21/2023,18,7,15,17,500,
10/20/2023,17,11,15,20,500,
10/19/2023,21,12,18,13,500,
10/18/2023,52,10,16,14,500,
10/17/2023,59,28,23,22,500,
10/16/2023,54,34,42,26,500,
10/15/2023,45,28,31,19,500,
10/14/2023,65,24,25,14,500,
10/13/2023,36,33,21,13,500,
10/12/2023,30,19,3,11,500,
10/11/2023,21,15,2,9,500,
10/10/2023,29,10,2,9,500,
10/9/2023,23,15,2,8,500,
10/8/2023,23,13,2,10,500,
10/7/2023,51,12,3,10,500,
10/6/2023,48,26,2,12,500,
10/5/2023,36,24,6,11,500,
10/4/2023,34,18,2,9,500,
10/3/2023,39,17,2,9,500,
10/2/2023,33,20,2,9,500,
10/1/2023,32,17,3,9,500,
9/30/2023,30,16,2,7,500,
9/29/2023,25,15,2,7,500,
9/28/2023,25,12,1,8,500,
9/27/2023,19,13,1,5,500,
9/26/2023,24,9,1,5,500,
9/25/2023,24,12,1,6,500,
9/24/2023,33,13,2,10,500,
9/23/2023,24,17,3,9,500,
9/22/2023,23,12,3,8,500,
9/21/2023,22,11,2,7,500,
9/20/2023,21,11,1,6,500,
9/19/2023,11,10,1,7,500,
9/18/2023,15,5,1,6,500,
9/17/2023,27,7,2,7,500,
9/16/2023,18,13,1,8,500,
9/15/2023,14,9,1,8,500,
9/14/2023,8,7,1,6,500,
9/13/2023,16,4,1,5,500,
9/12/2023,40,8,1,6,500,
9/11/2023,51,20,1,6,500,
9/10/2023,41,25,9,8,500,
9/9/2023,46,20,3,7,500,
9/8/2023,49,23,3,7,500,
9/7/2023,59,24,4,11,500,
9/6/2023,49,30,4,10,500,
9/5/2023,27,25,5,8,500,
9/4/2023,16,14,3,8,500,
9/3/2023,20,8,1,7,500,
9/2/2023,40,10,2,7,500,
9/1/2023,53,20,3,9,500,
8/31/2023,49,27,4,8,500,
8/30/2023,34,25,3,13,500,
8/29/2023,21,18,3,9,500,
8/28/2023,31,11,1,7,500,
8/27/2023,41,16,2,8,500,
8/26/2023,53,21,2,8,500,
8/25/2023,28,26,1,7,500,
8/24/2023,29,14,1,8,500,
8/23/2023,43,15,2,8,500,
8/22/2023,26,22,3,7,500,
8/21/2023,24,14,2,7,500,
8/20/2023,39,12,1,7,500,
8/19/2023,64,19,1,7,500,
8/18/2023,48,32,2,8,500,
8/17/2023,41,24,3,6,500,
8/16/2023,40,21,3,7,500,
8/15/2023,22,20,2,7,500,
8/14/2023,31,11,3,7,500,
8/13/2023,43,16,2,7,500,
8/12/2023,24,22,5,7,500,
8/11/2023,20,12,2,7,500,
8/10/2023,31,10,2,7,500,
8/9/2023,10,16,3,9,500,
8/8/2023,7,5,3,6,500,
8/7/2023,10,4,1,5,500,
8/6/2023,7,5,1,4,500,
8/5/2023,11,4,1,5,500,
8/4/2023,24,5,1,4,500,
8/3/2023,18,12,1,5,500,
8/2/2023,25,9,1,4,500,
8/1/2023,24,12,1,7,500,
7/31/2023,19,12,1,6,500,
7/30/2023,30,10,1,7,500,
7/29/2023,111,15,2,7,500,
7/28/2023,54,52,3,11,500,
7/27/2023,15,28,6,8,500,
7/26/2023,27,7,3,7,500,
7/25/2023,19,9,32,6,500,
7/24/2023,71,20,43,28,500,
7/23/2023,45,27,26,2,500,
7/22/2023,15,29,28,17,500,
7/21/2023,13,8,4,6,500,
7/20/2023,20,7,7,6,500,
7/19/2023,41,10,2,7,500,
7/18/2023,38,20,2,10,500,
7/17/2023,46,19,7,5,500,
7/16/2023,69,26,3,10,500,
7/15/2023,43,35,6,8,500,
7/14/2023,27,22,4,7,500,
7/13/2023,33,14,4,7,500,
7/12/2023,19,17,5,6,500,
7/11/2023,21,10,5,5,500,
7/10/2023,27,10,4,5,500,
7/9/2023,22,14,3,5,500,
7/8/2023,22,11,3,5,500,
7/7/2023,24,11,3,5,500,
7/6/2023,19,13,3,5,500,
7/5/2023,8,10,3,5,500,
7/4/2023,11,4,4,5,500,
7/3/2023,14,6,3,5,500,
7/2/2023,21,7,3,5,500,
7/1/2023,33,11,4,5,500,
6/30/2023,44,17,3,6,500,
6/29/2023,22,23,3,4,500,
6/28/2023,24,11,2,5,500,
6/27/2023,22,12,1,7,500,
6/26/2023,14,11,2,6,500,
6/25/2023,14,7,1,5,500,
6/24/2023,15,7,1,5,500,
6/23/2023,26,8,1,8,500,
6/22/2023,21,13,4,8,500,
6/21/2023,25,11,14,4,500,
6/20/2023,66,7,12,1,500,
6/19/2023,5,20,11,1,500,
6/18/2023,37,25,11,1,500,
6/17/2023,5,21,10,1,500,
6/16/2023,36,30,11,1,500,
6/15/2023,46,3,12,1,500,
6/14/2023,39,22,11,1,500,
6/13/2023,96,20,11,1,500,
6/12/2023,63,16,11,1,500,
6/11/2023,57,26,10,1,500,
6/10/2023,38,39,11,1,500,
6/9/2023,68,7,12,1,500,
6/8/2023,82,13,12,1,500,
6/7/2023,5,35,12,1,500,
6/6/2023,68,19,13,1,500,
6/5/2023,30,30,12,1,500,
6/4/2023,24,19,11,1,500,
6/3/2023,37,17,12,1,500,
6/2/2023,33,43,11,1,500,
6/1/2023,51,18,12,1,500,
5/31/2023,28,8,12,1,500,
5/30/2023,44,20,13,1,500,
5/29/2023,37,24,11,1,500,
5/28/2023,52,23,10,1,500,
5/27/2023,5,41,11,1,500,
5/26/2023,6,24,10,1,500,
5/25/2023,45,36,11,1,500,
5/24/2023,16,9,11,1,500,
5/23/2023,58,48,10,1,500,
5/22/2023,51,18,10,1,500,
5/21/2023,63,39,10,1,500,
5/20/2023,38,31,10,1,500,
5/19/2023,37,53,10,1,500,
5/18/2023,74,17,10,1,500,
5/17/2023,70,49,11,1,500,
5/16/2023,71,22,11,1,500,
5/15/2023,41,18,11,1,500,
5/14/2023,38,4,10,1,500,
5/13/2023,23,33,11,1,500,
5/12/2023,63,20,10,1,500,
5/11/2023,72,53,10,1,500,
5/10/2023,29,30,11,1,500,
5/9/2023,5,29,10,1,500,
5/8/2023,48,24,11,1,500,
5/7/2023,26,18,10,1,500,
5/6/2023,54,23,10,1,500,
5/5/2023,30,8,10,1,500,
5/4/2023,43,16,10,1,500,
5/3/2023,33,4,10,1,500,
5/2/2023,5,24,10,1,500,
5/1/2023,82,27,10,1,500,
4/30/2023,52,23,10,1,500,
4/29/2023,91,44,10,1,500,
4/28/2023,26,37,10,1,500,
4/27/2023,5,23,10,1,500,
4/26/2023,29,34,10,1,500,
4/25/2023,32,35,10,1,500,
4/24/2023,50,35,10,1,500,
4/23/2023,44,26,10,1,500,
4/22/2023,28,40,10,1,500,
4/21/2023,13,26,11,1,500,
4/20/2023,67,50,11,1,500,
4/19/2023,27,3,11,1,500,
4/18/2023,41,30,12,1,500,
4/17/2023,63,13,12,1,500,
4/16/2023,67,12,15,1,500,
4/15/2023,43,13,18,1,500,
4/14/2023,45,12,21,1,500,
4/13/2023,45,12,22,1,500,
4/12/2023,69,32,22,1,500,
4/11/2023,23,17,23,1,500,
4/10/2023,52,3,18,1,500,
4/9/2023,49,31,17,1,500,
4/8/2023,39,21,20,1,500,
4/7/2023,5,20,16,1,500,
4/6/2023,71,59,14,1,500,
4/5/2023,56,33,13,1,500,
4/4/2023,26,28,12,1,500,
4/3/2023,5,42,12,1,500,
4/2/2023,39,39,11,1,500,
4/1/2023,49,18,12,1,500,
3/31/2023,54,42,12,1,500,
3/30/2023,62,4,13,1,500,
3/29/2023,5,6,12,1,500,
3/28/2023,35,23,6,1,500,
3/27/2023,5,31,1,1,500,
3/26/2023,26,30,23,1,500,
3/25/2023,21,25,24,1,500,
3/24/2023,49,3,37,1,500,
3/23/2023,52,27,53,1,500,
3/22/2023,49,13,85,1,500,
3/21/2023,54,15,39,1,500,
3/20/2023,48,24,32,1,500,
3/19/2023,45,30,31,1,500,
3/18/2023,32,19,14,1,500,
3/17/2023,39,27,14,1,500,
3/16/2023,69,12,17,1,500,
3/15/2023,15,3,16,1,500,
3/14/2023,32,53,26,1,500,
3/13/2023,46,8,13,1,500,
3/12/2023,7,27,17,1,500,
3/11/2023,22,3,24,1,500,
3/10/2023,37,29,21,1,500,
3/9/2023,11,19,28,1,500,
3/8/2023,49,21,23,1,500,
3/7/2023,76,24,33,2,500,
3/6/2023,51,30,18,1,500,
3/5/2023,8,29,21,1,500,
3/4/2023,6,20,16,1,500,
3/3/2023,5,16,17,1,500,
3/2/2023,29,17,22,1,500,
3/1/2023,78,29,13,1,500,
2/28/2023,37,13,14,1,500,
2/27/2023,56,18,25,1,500,
2/26/2023,5,62,24,1,500,
2/25/2023,73,19,21,1,500,
2/24/2023,28,19,18,1,500,
2/23/2023,39,8,15,1,500,
2/22/2023,57,25,21,1,500,
2/21/2023,64,20,24,1,500,
2/20/2023,74,37,18,1,500,
2/19/2023,17,21,10,1,500,
2/18/2023,28,49,16,1,500,
2/17/2023,42,39,14,1,500,
2/16/2023,53,7,13,1,500,
2/15/2023,5,16,19,1,500,
2/14/2023,29,37,7,1,500,
2/13/2023,5,33,7,1,500,
2/12/2023,36,14,7,1,500,
2/11/2023,6,27,8,1,500,
2/10/2023,38,43,7,1,500,
2/9/2023,32,12,16,1,500,
2/8/2023,74,23,22,25,500,
2/7/2023,68,28,18,21,500,
2/6/2023,23,41,33,1,500,
2/5/2023,52,43,47,19,500,
2/4/2023,13,29,10,8,500,
2/3/2023,36,20,22,10,500,
2/2/2023,100,6,10,20,500,
2/1/2023,32,13,13,12,500,
1/31/2023,50,7,18,26,500,
1/30/2023,24,15,35,16,500,
1/29/2023,22,40,28,3,500,
1/28/2023,38,22,22,8,500,
1/27/2023,61,9,15,1,500,
1/26/2023,37,30,10,1,500,
1/25/2023,60,21,20,1,500,
1/24/2023,24,11,26,1,500,
1/23/2023,35,27,9,1,500,
1/22/2023,77,10,11,1,500,
1/21/2023,63,41,20,1,500,
1/20/2023,34,39,17,1,500,
1/19/2023,41,14,13,1,500,
1/18/2023,71,19,10,1,500,
1/17/2023,55,29,12,1,500,
1/16/2023,60,13,18,1,500,
1/15/2023,55,50,21,1,500,
1/14/2023,33,14,7,1,500,
1/13/2023,61,37,7,1,500,
1/12/2023,5,10,7,1,500,
1/11/2023,69,39,9,1,500,
1/10/2023,5,40,7,1,500,
1/9/2023,23,50,7,1,500,
1/8/2023,5,54,13,1,500,
1/7/2023,54,20,12,1,500,
1/6/2023,25,16,15,1,500,
1/5/2023,26,40,7,1,500,
1/4/2023,30,43,8,1,500,
1/3/2023,41,19,6,1,500,
1/2/2023,15,56,7,1,500,
1/1/2023,37,5,13,1,500,
12/31/2022,90,4,9,1,500,
12/30/2022,70,49,10,1,500,
12/29/2022,21,19,17,1,500,
12/28/2022,7,24,17,1,500,
12/27/2022,43,35,17,1,500,
12/26/2022,51,29,13,1,500,
12/25/2022,46,30,18,1,500,
12/24/2022,59,44,29,1,500,
12/23/2022,47,17,26,1,500,
12/22/2022,52,4,12,1,500,
12/21/2022,42,23,16,1,500,
12/20/2022,52,32,11,1,500,
12/19/2022,33,25,15,1,500,
12/18/2022,60,9,21,2,500,
12/17/2022,56,10,25,1,500,
12/16/2022,74,21,14,1,500,
12/15/2022,62,4,21,1,500,
12/14/2022,23,38,20,1,500,
12/13/2022,65,16,15,1,500,
12/12/2022,51,49,17,1,500,
12/11/2022,41,9,15,1,500,
12/10/2022,59,24,6,1,500,
12/9/2022,58,36,3,1,500,
12/8/2022,52,9,16,1,500,
12/7/2022,28,37,6,1,500,
12/6/2022,15,46,5,1,500,
12/5/2022,54,27,3,1,500,
12/4/2022,23,3,3,1,500,
12/3/2022,60,4,2,1,500,
12/2/2022,34,26,2,1,500,
12/1/2022,24,39,2,1,500,
11/30/2022,42,33,6,1,500,
11/29/2022,28,47,6,1,500,
11/28/2022,43,18,6,1,500,
11/27/2022,45,3,6,1,500,
11/26/2022,76,46,7,1,500,
11/25/2022,7,22,7,1,500,
11/24/2022,56,25,7,1,500,
11/23/2022,66,17,8,1,500,
11/22/2022,32,5,7,1,500,
11/21/2022,43,3,9,1,500,
11/20/2022,74,24,9,1,500,
11/19/2022,13,11,8,1,500,
11/18/2022,33,21,8,1,500,
11/17/2022,15,3,9,1,500,
11/16/2022,21,26,8,1,500,
11/15/2022,24,25,11,1,500,
11/14/2022,79,15,7,1,500,
11/13/2022,69,36,8,1,500,
11/12/2022,72,33,8,1,500,
11/11/2022,110,16,9,1,500,
11/10/2022,40,42,6,1,500,
11/9/2022,46,13,8,1,500,
11/8/2022,30,25,13,1,500,
11/7/2022,31,3,16,1,500,
11/6/2022,40,15,14,1,500,
11/5/2022,47,23,19,1,500,
11/4/2022,10,29,18,1,500,
11/3/2022,46,28,30,1,500,
11/2/2022,36,30,21,1,500,
11/1/2022,20,47,20,1,500,
10/31/2022,73,37,21,1,500,
10/30/2022,60,28,17,1,500,
10/29/2022,22,42,21,1,500,
10/28/2022,62,12,19,1,500,
10/27/2022,64,15,9,1,500,
10/26/2022,34,29,11,1,500,
10/25/2022,5,29,20,1,500,
10/24/2022,22,17,32,1,500,
10/23/2022,44,21,17,1,500,
10/22/2022,95,21,19,1,500,
10/21/2022,11,3,13,1,500,
10/20/2022,5,32,9,1,500,
10/19/2022,37,34,26,1,500,
10/18/2022,27,48,35,1,500,
10/17/2022,53,27,37,1,500,
10/16/2022,17,23,27,1,500,
10/15/2022,59,15,28,1,500,
10/14/2022,33,39,32,1,500,
10/13/2022,49,21,28,1,500,
10/12/2022,43,28,27,1,500,
10/11/2022,22,13,14,1,500,
10/10/2022,43,24,7,1,500,
10/9/2022,59,3,8,1,500,
10/8/2022,5,30,7,1,500,
10/7/2022,19,17,6,1,500,
10/6/2022,45,44,8,1,500,
10/5/2022,78,16,9,1,500,
10/4/2022,32,10,6,1,500,
10/3/2022,45,24,8,1,500,
10/2/2022,65,23,5,1,500,
10/1/2022,69,40,5,1,500,
9/30/2022,48,27,5,1,500,
9/29/2022,25,3,6,1,500,
9/28/2022,52,20,16,1,500,
9/27/2022,23,37,21,1,500,
9/26/2022,77,17,18,1,500,
9/25/2022,30,35,11,1,500,
9/24/2022,33,43,13,1,500,
9/23/2022,57,7,15,1,500,
9/22/2022,51,4,10,1,500,
9/21/2022,25,24,11,1,500,
9/20/2022,52,21,7,1,500,
9/19/2022,52,25,10,1,500,
9/18/2022,52,26,15,1,500,
9/17/2022,5,57,4,1,500,
9/16/2022,30,28,7,1,500,
9/15/2022,86,29,10,1,500,
9/14/2022,38,3,12,1,500,
9/13/2022,31,3,16,1,500,
9/12/2022,30,31,10,1,500,
9/11/2022,13,13,7,1,500,
9/10/2022,50,43,6,1,500,
9/9/2022,30,18,5,1,500,
9/8/2022,68,43,6,1,500,
9/7/2022,88,25,20,1,500,
9/6/2022,10,52,16,1,500,
9/5/2022,43,37,14,1,500,
9/4/2022,42,41,18,1,500,
9/3/2022,55,10,22,1,500,
9/2/2022,5,3,11,1,500,
9/1/2022,29,38,7,1,500,
8/31/2022,24,20,6,1,500,
8/30/2022,27,19,6,1,500,
8/29/2022,51,41,5,1,500,
8/28/2022,13,7,6,1,500,
8/27/2022,30,14,6,1,500,
8/26/2022,89,25,6,1,500,
8/25/2022,51,27,10,1,500,
8/24/2022,14,9,14,1,500,
8/23/2022,29,34,9,1,500,
8/22/2022,73,3,8,1,500,
8/21/2022,13,38,7,1,500,
8/20/2022,50,26,7,1,500,
8/19/2022,31,16,11,1,500,
8/18/2022,50,9,9,1,500,
8/17/2022,34,43,7,1,500,
8/16/2022,86,20,8,1,500,
8/15/2022,6,5,9,1,500,
8/14/2022,27,13,9,1,500,
8/13/2022,81,31,6,1,500,
8/12/2022,34,40,7,1,500,
8/11/2022,38,8,8,1,500,
8/10/2022,46,30,7,1,500,
8/9/2022,30,11,11,1,500,
8/8/2022,65,7,10,1,500,
8/7/2022,34,3,8,1,500,
8/6/2022,18,6,6,1,500,
8/5/2022,39,19,8,1,500,
8/4/2022,44,30,11,1,500,
8/3/2022,5,3,11,1,500,
8/2/2022,58,17,8,1,500,
8/1/2022,40,34,11,1,500,
7/31/2022,29,60,12,1,500,
7/30/2022,23,30,9,1,500,
7/29/2022,34,3,7,1,500,
7/28/2022,5,6,9,1,500,
7/27/2022,36,32,6,1,500,
7/26/2022,73,31,9,1,500,
7/25/2022,46,31,6,1,500,
7/24/2022,43,30,8,1,500,
7/23/2022,25,31,9,1,500,
7/22/2022,29,29,8,1,500,
7/21/2022,41,31,8,1,500,
7/20/2022,23,3,6,1,500,
7/19/2022,74,18,8,1,500,
7/18/2022,49,15,9,1,500,
7/17/2022,19,16,8,1,500,
7/16/2022,34,18,6,1,500,
7/15/2022,42,38,5,1,500,
7/14/2022,38,39,4,1,500,
7/13/2022,28,3,5,1,500,
7/12/2022,25,30,18,1,500,
7/11/2022,16,21,24,1,500,
7/10/2022,47,21,23,1,500,
7/9/2022,111,13,21,1,500,
7/8/2022,43,4,22,1,500,
7/7/2022,18,21,22,1,500,
7/6/2022,37,11,29,1,500,
7/5/2022,5,26,24,1,500,
7/4/2022,5,21,23,1,500,
7/3/2022,40,20,22,1,500,
7/2/2022,11,12,16,1,500,
7/1/2022,15,27,20,1,500,
6/30/2022,31,15,14,1,500,
6/29/2022,57,34,23,1,500,
6/28/2022,69,40,22,1,500,
6/27/2022,41,47,18,1,500,
6/26/2022,5,19,19,1,500,
